@RELATION LNCRNAsequence

@ATTRIBUTE	1	NUMERIC
@ATTRIBUTE	2	NUMERIC
@ATTRIBUTE	3	NUMERIC
@ATTRIBUTE	4	NUMERIC
@ATTRIBUTE	5	NUMERIC
@ATTRIBUTE class {+1,0.5}

@DATA
5.999985,2.280000,0.150000,-15.200000,1.386182,0.5
5.999985,2.310000,0.120000,-19.250000,1.404421,0.5
5.999985,2.220000,0.060000,-37.000000,1.349703,0.5
5.999985,2.160000,-0.030000,72.000000,1.313225,0.5
5.999985,2.130000,-0.090000,23.666667,1.294986,0.5
5.999985,2.130000,-0.120000,17.750000,1.294986,0.5
5.999985,2.160000,-0.150000,14.400000,1.313225,0.5
5.999985,2.190000,-0.150000,14.600000,1.331464,0.5
5.999985,2.220000,-0.150000,14.800000,1.349703,0.5
5.999985,2.250000,-0.180000,12.500000,1.367942,0.5
5.999985,2.250000,-0.180000,12.500000,1.367942,0.5
5.999985,2.280000,-0.180000,12.666667,1.386182,0.5
5.999985,2.280000,-0.180000,12.666667,1.386182,0.5
5.999985,2.250000,-0.150000,15.000000,1.367942,0.5
5.999985,2.250000,-0.150000,15.000000,1.367942,0.5
5.999985,2.220000,-0.150000,14.800000,1.349703,0.5
5.999985,2.220000,-0.150000,14.800000,1.349703,0.5
5.999985,2.190000,-0.150000,14.600000,1.331464,0.5
5.999985,2.190000,-0.120000,18.250000,1.331464,0.5
5.999985,2.160000,-0.060000,36.000000,1.313225,0.5
5.999985,2.340000,0.030000,-78.000000,1.422660,0.5
4.999988,2.310000,0.120000,-19.250000,1.685305,0.5
4.999988,2.280000,0.210000,-10.857143,1.663418,0.5
4.999988,2.280000,0.270000,-8.444444,1.663418,0.5
4.999988,2.310000,0.330000,-7.000000,1.685305,0.5
4.999988,2.310000,0.360000,-6.416667,1.685305,0.5
4.999988,2.340000,0.360000,-6.500000,1.707192,0.5
4.999988,2.340000,0.360000,-6.500000,1.707192,+1
4.999988,2.370000,0.330000,-7.181818,1.729079,+1
3.999990,2.370000,0.300000,-7.900000,2.161349,+1
3.999990,2.370000,0.300000,-7.900000,2.161349,+1
3.999990,2.370000,0.210000,-11.285714,2.161349,+1
3.999990,2.370000,0.180000,-13.166667,2.161349,+1
2.999993,2.370000,0.120000,-19.750000,2.881798,+1
2.999993,2.370000,0.060000,-39.500000,2.881798,+1
2.999993,2.340000,-0.060000,39.000000,2.845320,+1
4.999988,2.340000,-0.210000,11.142857,1.707192,+1
4.999988,2.340000,-0.240000,9.750000,1.707192,+1
4.999988,2.340000,-0.420000,5.571429,1.707192,+1
4.999988,2.310000,-0.480000,4.812500,1.685305,+1
4.999988,2.250000,-0.660000,3.409091,1.641531,+1
4.999988,2.160000,-0.810000,2.666667,1.575870,+1
4.999988,2.100000,-0.870000,2.413793,1.532095,+1
4.999988,2.040000,-0.900000,2.266667,1.488321,+1
4.999988,1.890000,-0.960000,1.968750,1.378886,+1
4.999988,1.800000,-0.990000,1.818182,1.313225,+1
4.999988,1.650000,-0.960000,1.718750,1.203789,+1
4.999988,1.530000,-0.900000,1.700000,1.116241,+1
4.999988,1.470000,-0.810000,1.814815,1.072467,+1
4.999988,1.350000,-0.720000,1.875000,0.984919,+1
4.999988,1.290000,-0.630000,2.047619,0.941144,+1
4.999988,1.200000,-0.450000,2.666667,0.875483,+1
2.999993,1.140000,-0.210000,5.428571,1.386181,+1
2.999993,1.170000,0.150000,-7.800000,1.422660,+1
2.999993,1.170000,0.150000,-7.800000,1.422660,+1
2.999993,1.200000,0.150000,-8.000000,1.459138,+1
