@RELATION LNCRNAsequence

@ATTRIBUTE	1	NUMERIC
@ATTRIBUTE	2	NUMERIC
@ATTRIBUTE	3	NUMERIC
@ATTRIBUTE	4	NUMERIC
@ATTRIBUTE	5	NUMERIC
@ATTRIBUTE	6	NUMERIC
@ATTRIBUTE	7	NUMERIC
@ATTRIBUTE	8	NUMERIC
@ATTRIBUTE	9	NUMERIC
@ATTRIBUTE	10	NUMERIC
@ATTRIBUTE class {+1,0.5}

@DATA
67.999831,39.060000,-1.260000,31.000000,2.095366,16.441791,44.350978,31.501033,1.160000,4.225000,0.5
67.999831,38.880000,-1.410000,27.574468,2.085710,16.680927,45.103287,31.939881,0.560000,3.625000,0.5
67.999831,38.790000,-1.440000,26.937500,2.080882,16.728416,45.252978,32.027200,0.440000,3.505000,0.5
67.999831,38.610000,-1.560000,24.750000,2.071226,16.917250,45.849168,32.374978,-0.040000,3.025000,0.5
67.999831,38.490000,-1.590000,24.207547,2.064788,16.964177,45.997573,32.461547,-0.160000,2.905000,0.5
67.999831,38.250000,-1.680000,22.767857,2.051914,17.104283,46.441244,32.720356,-0.520000,2.545000,0.5
67.999831,38.160000,-1.740000,21.931034,2.047086,17.197125,46.735740,32.892144,-0.760000,2.305000,0.5
68.999828,37.890000,-1.830000,20.704918,2.003143,17.647092,47.876347,33.566758,-1.120000,2.081250,0.5
68.999828,37.770000,-1.860000,20.306452,1.996799,17.694048,48.024819,33.653366,-1.240000,1.961250,0.5
68.999828,37.560000,-1.860000,20.193548,1.985697,17.694048,48.024819,33.653366,-1.240000,1.961250,0.5
68.999828,37.440000,-1.890000,19.809524,1.979353,17.740892,48.173033,33.739825,-1.360000,1.841250,0.5
68.999828,37.200000,-1.920000,19.375000,1.966665,17.787623,48.320990,33.826133,-1.480000,1.721250,0.5
68.999828,37.080000,-1.920000,19.312500,1.960321,17.787623,48.320990,33.826133,-1.480000,1.721250,0.5
68.999828,36.840000,-1.950000,18.892308,1.947633,17.834242,48.468690,33.912291,-1.600000,1.601250,0.5
68.999828,36.660000,-2.010000,18.238806,1.938117,17.927142,48.763319,34.084158,-1.840000,1.361250,0.5
68.999828,36.390000,-2.100000,17.328571,1.923842,18.065648,49.203333,34.340833,-2.200000,1.001250,0.5
68.999828,36.240000,-2.160000,16.777778,1.915912,18.157423,49.495390,34.511200,-2.440000,0.761250,0.5
67.999831,36.000000,-2.370000,15.189873,1.931213,18.144794,49.765840,34.659703,-3.280000,-0.215000,0.5
67.999831,35.730000,-2.580000,13.848837,1.916729,18.449658,50.750673,35.234189,-4.120000,-1.055000,0.5
67.999831,35.550000,-2.670000,13.314607,1.907073,18.578627,51.168887,35.478147,-4.480000,-1.415000,0.5
66.999834,35.160000,-2.820000,12.468085,1.914303,18.448617,51.081403,35.417856,-5.080000,-2.151250,0.5
66.999834,34.950000,-2.910000,12.010309,1.902869,18.571760,51.486303,35.654047,-5.440000,-2.511250,0.5
66.999834,34.530000,-3.060000,11.284314,1.880002,18.774750,52.155994,36.044700,-6.040000,-3.111250,0.5
66.999834,34.320000,-3.120000,11.000000,1.868568,18.855158,52.422070,36.199911,-6.280000,-3.351250,0.5
66.999834,33.870000,-3.240000,10.453704,1.844068,19.014625,52.951137,36.508533,-6.760000,-3.831250,0.5
66.999834,33.660000,-3.270000,10.293578,1.832634,19.054210,53.082760,36.585314,-6.880000,-3.951250,0.5
66.999834,33.240000,-3.390000,9.805310,1.809767,19.211427,53.606684,36.890936,-7.360000,-4.431250,0.5
66.999834,33.000000,-3.420000,9.649123,1.796700,19.250450,53.737022,36.966967,-7.480000,-4.551250,0.5
66.999834,32.520000,-3.510000,9.264957,1.770567,19.366844,54.126494,37.194158,-7.840000,-4.911250,0.5
66.999834,32.310000,-3.570000,9.050420,1.759133,19.443877,54.384856,37.344870,-8.080000,-5.151250,0.5
63.999840,27.210000,0.270000,-100.777778,1.550905,12.919584,34.173712,25.527258,7.280000,9.800000,0.5
63.999840,27.270000,0.210000,-129.857143,1.554325,13.018717,34.482589,25.707436,7.040000,9.560000,0.5
63.999840,28.260000,0.120000,-235.500000,1.610752,13.166573,34.943974,25.976578,6.680000,9.200000,0.5
63.999840,30.990000,-3.840000,8.070313,1.766356,18.669873,52.953803,36.482311,-9.160000,-6.640000,0.5
63.999840,30.480000,-3.930000,7.755725,1.737287,18.772167,53.311046,36.690703,-9.520000,-7.000000,0.5
63.999840,27.660000,-0.060000,461.000000,1.576554,13.459248,35.859803,26.510811,5.960000,8.480000,0.5
