@RELATION LNCRNAsequence

@ATTRIBUTE	1	NUMERIC
@ATTRIBUTE	2	NUMERIC
@ATTRIBUTE	3	NUMERIC
@ATTRIBUTE	4	NUMERIC
@ATTRIBUTE	5	NUMERIC
@ATTRIBUTE class {+1,0.5}

@DATA
97.999757,32.100000,-2.820000,11.382979,1.194856,0.5
97.999757,31.770000,-2.790000,11.387097,1.182572,0.5
97.999757,31.410000,-2.730000,11.505495,1.169172,0.5
97.999757,31.230000,-2.730000,11.439560,1.162472,0.5
97.999757,30.900000,-2.700000,11.444444,1.150188,0.5
97.999757,30.750000,-2.670000,11.516854,1.144605,0.5
96.999759,30.390000,-2.640000,11.511364,1.142867,0.5
96.999759,29.910000,-2.550000,11.729412,1.124815,0.5
95.999761,29.730000,-2.550000,11.658824,1.129692,0.5
95.999761,29.400000,-2.460000,11.951220,1.117153,0.5
95.999761,29.220000,-2.430000,12.024691,1.110313,0.5
95.999761,28.920000,-2.370000,12.202532,1.098914,0.5
95.999761,28.800000,-2.340000,12.307692,1.094354,0.5
95.999761,28.500000,-2.280000,12.500000,1.082954,0.5
95.999761,28.350000,-2.280000,12.434211,1.077255,0.5
94.999763,28.080000,-2.250000,12.480000,1.078227,0.5
94.999763,27.960000,-2.190000,12.767123,1.073619,0.5
94.999763,27.660000,-2.190000,12.630137,1.062099,0.5
94.999763,27.510000,-2.160000,12.736111,1.056340,0.5
94.999763,27.270000,-2.100000,12.985714,1.047124,0.5
94.999763,27.150000,-2.100000,12.928571,1.042516,0.5
94.999763,26.820000,-2.070000,12.956522,1.029845,0.5
93.999766,26.520000,-2.010000,13.194030,1.029158,0.5
93.999766,26.370000,-2.010000,13.119403,1.023337,0.5
93.999766,26.100000,-1.980000,13.181818,1.012859,0.5
93.999766,25.950000,-1.950000,13.307692,1.007038,0.5
93.999766,25.530000,-1.920000,13.296875,0.990740,0.5
93.999766,25.260000,-1.860000,13.580645,0.980262,0.5
93.999766,25.140000,-1.830000,13.737705,0.975605,0.5
93.999766,24.900000,-1.800000,13.833333,0.966291,0.5
93.999766,24.780000,-1.770000,14.000000,0.961634,0.5
92.999769,24.600000,-1.770000,13.898305,0.964914,0.5
92.999769,24.510000,-1.740000,14.086207,0.961384,0.5
92.999769,24.330000,-1.740000,13.982759,0.954324,0.5
92.999769,24.030000,-1.650000,14.563636,0.942556,0.5
92.999769,23.940000,-1.650000,14.509091,0.939026,0.5
92.999769,23.760000,-1.590000,14.943396,0.931966,0.5
92.999769,23.610000,-1.560000,15.134615,0.926082,0.5
92.999769,24.060000,-1.530000,15.725490,0.943733,0.5
92.999769,24.270000,-1.500000,16.180000,0.951970,0.5
91.999772,24.090000,-1.470000,16.387755,0.955181,0.5
91.999772,23.880000,-1.440000,16.583333,0.946854,0.5
91.999772,23.790000,-1.440000,16.520833,0.943285,0.5
91.999772,23.640000,-1.410000,16.765957,0.937338,0.5
91.999772,23.580000,-1.410000,16.723404,0.934959,0.5
